ApproxNeuraLCBV2-net has 801 parameters.
start
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = 0.00000
sigma = 0.00100, lambda = 0.01000, score = 0.00000
sigma = 0.00100, lambda = 0.10000, score = 0.00000
sigma = 0.00100, lambda = 1.00000, score = 0.00000
sigma = 0.00100, lambda = 10.00000, score = -0.00000
sigma = 0.00100, lambda = 100.00000, score = 0.00000
sigma = 0.00100, lambda = 1000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000000.00000, score = 0.00000
sigma = 0.01000, lambda = 0.00100, score = -0.00000
sigma = 0.01000, lambda = 0.01000, score = -0.00000
sigma = 0.01000, lambda = 0.10000, score = -0.00000
sigma = 0.01000, lambda = 1.00000, score = -0.00000
sigma = 0.01000, lambda = 10.00000, score = -0.00000
sigma = 0.01000, lambda = 100.00000, score = -0.00000
sigma = 0.01000, lambda = 1000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000000.00000, score = -0.00000
sigma = 0.10000, lambda = 0.00100, score = 3.88860
sigma = 0.10000, lambda = 0.01000, score = -0.06520
sigma = 0.10000, lambda = 0.10000, score = -0.01328
sigma = 0.10000, lambda = 1.00000, score = -0.00141
sigma = 0.10000, lambda = 10.00000, score = -0.00014
sigma = 0.10000, lambda = 100.00000, score = -0.00001
sigma = 0.10000, lambda = 1000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000000.00000, score = -0.00000
sigma = 1.00000, lambda = 0.00100, score = 237.29386
sigma = 1.00000, lambda = 0.01000, score = 11.11034
sigma = 1.00000, lambda = 0.10000, score = -0.11020
sigma = 1.00000, lambda = 1.00000, score = -0.49652
sigma = 1.00000, lambda = 10.00000, score = -0.41369
sigma = 1.00000, lambda = 100.00000, score = -0.10998
sigma = 1.00000, lambda = 1000.00000, score = -0.01292
sigma = 1.00000, lambda = 10000.00000, score = -0.00131
sigma = 1.00000, lambda = 100000.00000, score = -0.00013
sigma = 1.00000, lambda = 1000000.00000, score = -0.00001
sigma = 1.00000, lambda = 10000000.00000, score = -0.00000
sigma = 1.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10.00000, lambda = 0.00100, score = 42.42452
sigma = 10.00000, lambda = 0.01000, score = -0.20871
sigma = 10.00000, lambda = 0.10000, score = -0.50007
sigma = 10.00000, lambda = 1.00000, score = -0.50010
sigma = 10.00000, lambda = 10.00000, score = -0.49419
sigma = 10.00000, lambda = 100.00000, score = -0.35738
sigma = 10.00000, lambda = 1000.00000, score = -0.07755
sigma = 10.00000, lambda = 10000.00000, score = -0.00868
sigma = 10.00000, lambda = 100000.00000, score = -0.00088
sigma = 10.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100.00000, lambda = 0.00100, score = -0.49994
sigma = 100.00000, lambda = 0.01000, score = -0.49994
sigma = 100.00000, lambda = 0.10000, score = -0.49993
sigma = 100.00000, lambda = 1.00000, score = -0.49977
sigma = 100.00000, lambda = 10.00000, score = -0.49408
sigma = 100.00000, lambda = 100.00000, score = -0.36016
sigma = 100.00000, lambda = 1000.00000, score = -0.07907
sigma = 100.00000, lambda = 10000.00000, score = -0.00888
sigma = 100.00000, lambda = 100000.00000, score = -0.00090
sigma = 100.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 0.00100, score = -0.49994
sigma = 10000.00000, lambda = 0.01000, score = -0.49994
sigma = 10000.00000, lambda = 0.10000, score = -0.49993
sigma = 10000.00000, lambda = 1.00000, score = -0.49977
sigma = 10000.00000, lambda = 10.00000, score = -0.49408
sigma = 10000.00000, lambda = 100.00000, score = -0.36019
sigma = 10000.00000, lambda = 1000.00000, score = -0.07909
sigma = 10000.00000, lambda = 10000.00000, score = -0.00888
sigma = 10000.00000, lambda = 100000.00000, score = -0.00090
sigma = 10000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 0.00100, score = -0.49994
sigma = 100000.00000, lambda = 0.01000, score = -0.49994
sigma = 100000.00000, lambda = 0.10000, score = -0.49993
sigma = 100000.00000, lambda = 1.00000, score = -0.49977
sigma = 100000.00000, lambda = 10.00000, score = -0.49408
sigma = 100000.00000, lambda = 100.00000, score = -0.36019
sigma = 100000.00000, lambda = 1000.00000, score = -0.07909
sigma = 100000.00000, lambda = 10000.00000, score = -0.00888
sigma = 100000.00000, lambda = 100000.00000, score = -0.00090
sigma = 100000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000000.00000, lambda = 0.00100, score = -0.49994
sigma = 10000000.00000, lambda = 0.01000, score = -0.49994
sigma = 10000000.00000, lambda = 0.10000, score = -0.49993
sigma = 10000000.00000, lambda = 1.00000, score = -0.49977
sigma = 10000000.00000, lambda = 10.00000, score = -0.49408
sigma = 10000000.00000, lambda = 100.00000, score = -0.36019
sigma = 10000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 10000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 10000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 10000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10000000.00000, lambda = 10000000.00000, score = -0.00001RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = 0.00000
sigma = 0.00100, lambda = 0.01000, score = 0.00000
sigma = 0.00100, lambda = 0.10000, score = 0.00000
sigma = 0.00100, lambda = 1.00000, score = 0.00000
sigma = 0.00100, lambda = 10.00000, score = -0.00000
sigma = 0.00100, lambda = 100.00000, score = 0.00000
sigma = 0.00100, lambda = 1000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000000.00000, score = 0.00000
sigma = 0.01000, lambda = 0.00100, score = -0.00000
sigma = 0.01000, lambda = 0.01000, score = -0.00000
sigma = 0.01000, lambda = 0.10000, score = -0.00000
sigma = 0.01000, lambda = 1.00000, score = -0.00000
sigma = 0.01000, lambda = 10.00000, score = -0.00000
sigma = 0.01000, lambda = 100.00000, score = -0.00000
sigma = 0.01000, lambda = 1000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000000.00000, score = -0.00000
sigma = 0.10000, lambda = 0.00100, score = -3.08403
sigma = 0.10000, lambda = 0.01000, score = -0.34247
sigma = 0.10000, lambda = 0.10000, score = -0.03618
sigma = 0.10000, lambda = 1.00000, score = -0.00364
sigma = 0.10000, lambda = 10.00000, score = -0.00036
sigma = 0.10000, lambda = 100.00000, score = -0.00004
sigma = 0.10000, lambda = 1000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000000.00000, score = -0.00000
sigma = 1.00000, lambda = 0.00100, score = 228.17198
sigma = 1.00000, lambda = 0.01000, score = 9.15431
sigma = 1.00000, lambda = 0.10000, score = -0.27702
sigma = 1.00000, lambda = 1.00000, score = -0.49265
sigma = 1.00000, lambda = 10.00000, score = -0.41347
sigma = 1.00000, lambda = 100.00000, score = -0.11230
sigma = 1.00000, lambda = 1000.00000, score = -0.01326
sigma = 1.00000, lambda = 10000.00000, score = -0.00135
sigma = 1.00000, lambda = 100000.00000, score = -0.00014
sigma = 1.00000, lambda = 1000000.00000, score = -0.00001
sigma = 1.00000, lambda = 10000000.00000, score = -0.00000
sigma = 1.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10.00000, lambda = 0.00100, score = 30.19572
sigma = 10.00000, lambda = 0.01000, score = -0.31977
sigma = 10.00000, lambda = 0.10000, score = -0.49994
sigma = 10.00000, lambda = 1.00000, score = -0.50003
sigma = 10.00000, lambda = 10.00000, score = -0.49415
sigma = 10.00000, lambda = 100.00000, score = -0.35737
sigma = 10.00000, lambda = 1000.00000, score = -0.07754
sigma = 10.00000, lambda = 10000.00000, score = -0.00868
sigma = 10.00000, lambda = 100000.00000, score = -0.00088
sigma = 10.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100.00000, lambda = 0.00100, score = -0.49994
sigma = 100.00000, lambda = 0.01000, score = -0.49994
sigma = 100.00000, lambda = 0.10000, score = -0.49993
sigma = 100.00000, lambda = 1.00000, score = -0.49977
sigma = 100.00000, lambda = 10.00000, score = -0.49408
sigma = 100.00000, lambda = 100.00000, score = -0.36016
sigma = 100.00000, lambda = 1000.00000, score = -0.07907
sigma = 100.00000, lambda = 10000.00000, score = -0.00888
sigma = 100.00000, lambda = 100000.00000, score = -0.00090
sigma = 100.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100.00000, lambda = 1000000000.00000, score = -0.00000
