True
0
ApproxNeuraLCBV2-net has 801 parameters.
start
True
0
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = 0.00000
sigma = 0.00100, lambda = 0.01000, score = 0.00000
sigma = 0.00100, lambda = 0.10000, score = 0.00000
sigma = 0.00100, lambda = 1.00000, score = 0.00000
sigma = 0.00100, lambda = 10.00000, score = -0.00000
sigma = 0.00100, lambda = 100.00000, score = 0.00000
sigma = 0.00100, lambda = 1000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000000.00000, score = 0.00000
sigma = 0.01000, lambda = 0.00100, score = 0.00000
sigma = 0.01000, lambda = 0.01000, score = 0.00000
sigma = 0.01000, lambda = 0.10000, score = 0.00000
sigma = 0.01000, lambda = 1.00000, score = 0.00000
sigma = 0.01000, lambda = 10.00000, score = -0.00000
sigma = 0.01000, lambda = 100.00000, score = -0.00000
sigma = 0.01000, lambda = 1000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000000.00000, score = -0.00000
sigma = 0.10000, lambda = 0.00100, score = 2.52128
sigma = 0.10000, lambda = 0.01000, score = -0.03489
sigma = 0.10000, lambda = 0.10000, score = -0.00739
sigma = 0.10000, lambda = 1.00000, score = -0.00079
sigma = 0.10000, lambda = 10.00000, score = -0.00008
sigma = 0.10000, lambda = 100.00000, score = -0.00001
sigma = 0.10000, lambda = 1000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000000.00000, score = -0.00000
sigma = 1.00000, lambda = 0.00100, score = 684.02390
sigma = 1.00000, lambda = 0.01000, score = 19.04306
sigma = 1.00000, lambda = 0.10000, score = -0.28495
sigma = 1.00000, lambda = 1.00000, score = -0.58276
sigma = 1.00000, lambda = 10.00000, score = -0.43267
sigma = 1.00000, lambda = 100.00000, score = -0.10853
sigma = 1.00000, lambda = 1000.00000, score = -0.01258
sigma = 1.00000, lambda = 10000.00000, score = -0.00128
sigma = 1.00000, lambda = 100000.00000, score = -0.00013
sigma = 1.00000, lambda = 1000000.00000, score = -0.00001
sigma = 1.00000, lambda = 10000000.00000, score = -0.00000
sigma = 1.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10.00000, lambda = 0.00100, score = 525.15975
sigma = 10.00000, lambda = 0.01000, score = 6.95402
sigma = 10.00000, lambda = 0.10000, score = -0.49013
sigma = 10.00000, lambda = 1.00000, score = -0.50066
sigma = 10.00000, lambda = 10.00000, score = -0.49463
sigma = 10.00000, lambda = 100.00000, score = -0.35758
sigma = 10.00000, lambda = 1000.00000, score = -0.07755
sigma = 10.00000, lambda = 10000.00000, score = -0.00868
sigma = 10.00000, lambda = 100000.00000, score = -0.00088
sigma = 10.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100.00000, lambda = 0.00100, score = -0.48649
sigma = 100.00000, lambda = 0.01000, score = -0.49995
sigma = 100.00000, lambda = 0.10000, score = -0.49994
sigma = 100.00000, lambda = 1.00000, score = -0.49977
sigma = 100.00000, lambda = 10.00000, score = -0.49408
sigma = 100.00000, lambda = 100.00000, score = -0.36016
sigma = 100.00000, lambda = 1000.00000, score = -0.07907
sigma = 100.00000, lambda = 10000.00000, score = -0.00888
sigma = 100.00000, lambda = 100000.00000, score = -0.00090
sigma = 100.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 0.00100, score = -0.49994
sigma = 10000.00000, lambda = 0.01000, score = -0.49994
sigma = 10000.00000, lambda = 0.10000, score = -0.49993
sigma = 10000.00000, lambda = 1.00000, score = -0.49977
sigma = 10000.00000, lambda = 10.00000, score = -0.49408
sigma = 10000.00000, lambda = 100.00000, score = -0.36019
sigma = 10000.00000, lambda = 1000.00000, score = -0.07909
sigma = 10000.00000, lambda = 10000.00000, score = -0.00888
sigma = 10000.00000, lambda = 100000.00000, score = -0.00090
sigma = 10000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 0.00100, score = -0.49994
sigma = 100000.00000, lambda = 0.01000, score = -0.49994
sigma = 100000.00000, lambda = 0.10000, score = -0.49993
sigma = 100000.00000, lambda = 1.00000, score = -0.49977
sigma = 100000.00000, lambda = 10.00000, score = -0.49408
sigma = 100000.00000, lambda = 100.00000, score = -0.36019
sigma = 100000.00000, lambda = 1000.00000, score = -0.07909
sigma = 100000.00000, lambda = 10000.00000, score = -0.00888
sigma = 100000.00000, lambda = 100000.00000, score = -0.00090
sigma = 100000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000000.00000, lambda = 0.00100, score = -0.49994
sigma = 10000000.00000, lambda = 0.01000, score = -0.49994
sigma = 10000000.00000, lambda = 0.10000, score = -0.49993
sigma = 10000000.00000, lambda = 1.00000, score = -0.49977
sigma = 10000000.00000, lambda = 10.00000, score = -0.49408
sigma = 10000000.00000, lambda = 100.00000, score = -0.36019
sigma = 10000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 10000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 10000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 10000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10000000.00000, lambda = 10000000.00000, score = -0.00001True
0
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = 0.00000
sigma = 0.00100, lambda = 0.01000, score = 0.00000
sigma = 0.00100, lambda = 0.10000, score = 0.00000
sigma = 0.00100, lambda = 1.00000, score = 0.00000
sigma = 0.00100, lambda = 10.00000, score = -0.00000
sigma = 0.00100, lambda = 100.00000, score = 0.00000
sigma = 0.00100, lambda = 1000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000000.00000, score = 0.00000
sigma = 0.01000, lambda = 0.00100, score = 0.00000
sigma = 0.01000, lambda = 0.01000, score = 0.00000
sigma = 0.01000, lambda = 0.10000, score = 0.00000
sigma = 0.01000, lambda = 1.00000, score = 0.00000
sigma = 0.01000, lambda = 10.00000, score = -0.00000
sigma = 0.01000, lambda = 100.00000, score = 0.00000
sigma = 0.01000, lambda = 1000.00000, score = 0.00000
sigma = 0.01000, lambda = 10000.00000, score = 0.00000
sigma = 0.01000, lambda = 100000.00000, score = 0.00000
sigma = 0.01000, lambda = 1000000.00000, score = 0.00000
sigma = 0.01000, lambda = 10000000.00000, score = 0.00000
sigma = 0.01000, lambda = 100000000.00000, score = 0.00000
sigma = 0.01000, lambda = 1000000000.00000, score = 0.00000
sigma = 0.10000, lambda = 0.00100, score = 0.75568
sigma = 0.10000, lambda = 0.01000, score = -0.00894
sigma = 0.10000, lambda = 0.10000, score = -0.00193
sigma = 0.10000, lambda = 1.00000, score = -0.00020
sigma = 0.10000, lambda = 10.00000, score = -0.00002
sigma = 0.10000, lambda = 100.00000, score = -0.00000
sigma = 0.10000, lambda = 1000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000000.00000, score = -0.00000
sigma = 1.00000, lambda = 0.00100, score = 446.14705
sigma = 1.00000, lambda = 0.01000, score = 13.18379
sigma = 1.00000, lambda = 0.10000, score = -0.12326
sigma = 1.00000, lambda = 1.00000, score = -0.47631
sigma = 1.00000, lambda = 10.00000, score = -0.39274
sigma = 1.00000, lambda = 100.00000, score = -0.10619
sigma = 1.00000, lambda = 1000.00000, score = -0.01253
sigma = 1.00000, lambda = 10000.00000, score = -0.00128
sigma = 1.00000, lambda = 100000.00000, score = -0.00013
sigma = 1.00000, lambda = 1000000.00000, score = -0.00001
sigma = 1.00000, lambda = 10000000.00000, score = -0.00000
sigma = 1.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10.00000, lambda = 0.00100, score = 98.07258
sigma = 10.00000, lambda = 0.01000, score = 0.31475
sigma = 10.00000, lambda = 0.10000, score = -0.49999
sigma = 10.00000, lambda = 1.00000, score = -0.49981
sigma = 10.00000, lambda = 10.00000, score = -0.49388
sigma = 10.00000, lambda = 100.00000, score = -0.35719
sigma = 10.00000, lambda = 1000.00000, score = -0.07752
sigma = 10.00000, lambda = 10000.00000, score = -0.00868
sigma = 10.00000, lambda = 100000.00000, score = -0.00088
sigma = 10.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100.00000, lambda = 0.00100, score = -0.49994
sigma = 100.00000, lambda = 0.01000, score = -0.49994
sigma = 100.00000, lambda = 0.10000, score = -0.49993
sigma = 100.00000, lambda = 1.00000, score = -0.49977
sigma = 100.00000, lambda = 10.00000, score = -0.49408
sigma = 100.00000, lambda = 100.00000, score = -0.36016
sigma = 100.00000, lambda = 1000.00000, score = -0.07907
sigma = 100.00000, lambda = 10000.00000, score = -0.00888
sigma = 100.00000, lambda = 100000.00000, score = -0.00090
sigma = 100.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100.00000, lambda = 100000000.00000, score = -0.00000
